Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:100-n:8-r0:5-rho:0.9-M:100;100;1000000;100;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;21,42;93;4;0,081599563
N:100-n:8-r0:5-rho:0.9-M:10;10;1000000;100;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;195,62;1755;14;0,456285505
N:100-n:8-r0:5-rho:0.9-M:1;1;1000000;100;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;1610,07;4999;139;29.185.684.277.799.700
N:100-n:8-r0:5-rho:0.8-M:10000;10000;1000000;100;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;2,07;4;2;0,683446029
N:100-n:8-r0:5-rho:0.8-M:1000;1000;1000000;100;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;3,54;19;2;0,087581534
N:100-n:8-r0:5-rho:0.8-M:100;100;1000000;100;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;16,61;64;2;0,06379568
N:100-n:8-r0:5-rho:0.8-M:10;10;1000000;100;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;126,65;544;29;0,295933634
N:100-n:8-r0:5-rho:0.8-M:1;1;1000000;100;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;1008,07;3886;120;18.274.377.740.400.000
N:100-n:8-r0:5-rho:0.7-M:10000;10000;1000000;100;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;2,02;3;2;0,67004506
N:100-n:8-r0:5-rho:0.7-M:1000;1000;1000000;100;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;3,86;14;2;0,09461213
N:100-n:8-r0:5-rho:0.7-M:100;100;1000000;100;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;14,84;51;3;0,057036386
N:100-n:8-r0:5-rho:0.7-M:10;10;1000000;100;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;122,03;399;31;0,284378966
N:100-n:8-r0:5-rho:0.7-M:1;1;1000000;100;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;1077,27;3706;196;19.711.645.477.400.400
N:100-n:8-r0:5-rho:0.6-M:10000;10000;1000000;100;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;2,02;3;2;0,661998581
N:100-n:8-r0:5-rho:0.6-M:1000;1000;1000000;100;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;3,85;9;2;0,093909514
N:100-n:8-r0:5-rho:0.6-M:100;100;1000000;100;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;17,41;61;3;0,066802986
N:100-n:8-r0:5-rho:0.6-M:10;10;1000000;100;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;123,86;336;23;0,287437361
N:100-n:8-r0:5-rho:0.6-M:1;1;1000000;100;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;1699,85;4999;295;3.081.296.319.159.880
N:100-n:8-r0:1-rho:0.9-M:10000;10000;1000000;100;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;121,77;138;110;3.973.673.889.044.000
N:100-n:8-r0:1-rho:0.9-M:1000;1000;1000000;100;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;141,23;299;102;30.862.194.764.000.000
N:100-n:8-r0:1-rho:0.9-M:100;100;1000000;100;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;368,74;3533;95;13.989.155.693.299.800
N:100-n:8-r0:1-rho:0.9-M:10;10;1000000;100;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;1709,11;4999;81;40.385.960.813.000.500
N:100-n:8-r0:1-rho:0.9-M:1;1;1000000;100;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;4191,51;4999;235;7.612.160.050.860.110
M=1, 10, 100;;1000000;;0,5;0,01;0,01;;;100;;0,5;lagrange;;;;
